decil,MAT,SERV
11.0,377.0,Técnica Pública
12.0,381.7999999999997,Técnica Pública
13.0,385.0,Técnica Pública
14.0,389.0,Técnica Pública
15.0,392.0,Técnica Pública
16.0,395.0,Técnica Pública
17.0,398.0,Técnica Pública
18.0,401.0,Técnica Pública
19.0,404.0,Técnica Pública
20.0,407.0,Técnica Pública
21.0,410.0,Técnica Pública
22.0,413.0,Técnica Pública
23.0,416.0,Técnica Pública
24.0,419.0,Técnica Pública
25.0,421.0,Técnica Pública
26.0,424.0,Técnica Pública
27.0,427.0,Técnica Pública
28.0,429.0,Técnica Pública
29.0,432.0,Técnica Pública
30.0,434.0,Técnica Pública
31.0,436.0,Técnica Pública
32.0,439.0,Técnica Pública
33.0,441.0,Técnica Pública
34.0,443.0,Técnica Pública
35.0,445.0,Técnica Pública
36.0,448.0,Técnica Pública
37.0,450.0,Técnica Pública
38.0,453.0,Técnica Pública
39.0,455.0,Técnica Pública
40.0,458.0,Técnica Pública
41.0,460.0,Técnica Pública
42.0,462.0,Técnica Pública
43.0,465.0,Técnica Pública
44.0,467.0,Técnica Pública
45.0,469.0,Técnica Pública
46.0,471.0,Técnica Pública
47.0,474.0,Técnica Pública
48.0,477.0,Técnica Pública
49.0,479.0,Técnica Pública
50.0,482.0,Técnica Pública
51.0,484.0,Técnica Pública
52.0,487.0,Técnica Pública
53.0,490.0,Técnica Pública
54.0,492.0,Técnica Pública
55.0,495.0,Técnica Pública
56.0,498.0,Técnica Pública
57.0,501.0,Técnica Pública
58.0,503.0,Técnica Pública
59.0,506.0,Técnica Pública
60.0,509.0,Técnica Pública
61.0,512.0,Técnica Pública
62.0,515.0,Técnica Pública
63.0,518.0,Técnica Pública
64.0,521.0,Técnica Pública
65.0,523.0,Técnica Pública
66.0,527.0,Técnica Pública
67.0,530.0,Técnica Pública
68.0,533.0,Técnica Pública
69.0,536.0,Técnica Pública
70.0,540.0,Técnica Pública
71.0,543.0,Técnica Pública
72.0,546.0,Técnica Pública
73.0,550.0,Técnica Pública
74.0,554.0,Técnica Pública
75.0,558.0,Técnica Pública
76.0,562.0,Técnica Pública
77.0,566.0,Técnica Pública
78.0,570.0,Técnica Pública
79.0,574.3500000000022,Técnica Pública
80.0,579.0,Técnica Pública
81.0,584.0,Técnica Pública
82.0,589.0,Técnica Pública
83.0,594.0,Técnica Pública
84.0,600.0,Técnica Pública
85.0,606.0,Técnica Pública
86.0,611.0,Técnica Pública
87.0,618.0,Técnica Pública
88.0,625.0,Técnica Pública
89.0,633.0,Técnica Pública
90.0,641.0,Técnica Pública
91.0,649.0,Técnica Pública
92.0,657.7999999999993,Técnica Pública
93.0,667.0,Técnica Pública
94.0,678.0,Técnica Pública
95.0,691.0,Técnica Pública
96.0,706.0,Técnica Pública
97.0,723.0,Técnica Pública
98.0,748.0,Técnica Pública
99.0,779.0,Técnica Pública
0.0,200.0,Telesecundaria
1.0,280.0,Telesecundaria
2.0,309.0,Telesecundaria
3.0,324.0,Telesecundaria
4.0,335.0,Telesecundaria
5.0,343.0,Telesecundaria
6.0,350.0,Telesecundaria
7.0,355.0,Telesecundaria
8.0,361.0,Telesecundaria
9.0,366.0,Telesecundaria
10.0,370.0,Telesecundaria
11.0,374.0,Telesecundaria
12.0,378.0,Telesecundaria
13.0,381.0,Telesecundaria
14.0,385.0,Telesecundaria
15.0,388.0,Telesecundaria
16.0,391.0,Telesecundaria
17.0,394.0,Telesecundaria
18.0,397.0,Telesecundaria
19.0,400.0,Telesecundaria
20.0,403.0,Telesecundaria
21.0,406.0,Telesecundaria
22.0,408.0,Telesecundaria
23.0,411.0,Telesecundaria
24.0,413.0,Telesecundaria
25.0,416.0,Telesecundaria
26.0,418.0,Telesecundaria
27.0,421.0,Telesecundaria
28.0,424.0,Telesecundaria
29.0,426.0,Telesecundaria
30.0,429.0,Telesecundaria
31.0,431.0,Telesecundaria
32.0,433.0,Telesecundaria
33.0,436.0,Telesecundaria
34.0,438.0,Telesecundaria
35.0,441.0,Telesecundaria
36.0,443.0,Telesecundaria
37.0,445.0,Telesecundaria
38.0,448.0,Telesecundaria
39.0,450.0,Telesecundaria
40.0,453.0,Telesecundaria
41.0,455.0,Telesecundaria
42.0,458.0,Telesecundaria
43.0,460.0,Telesecundaria
44.0,462.0,Telesecundaria
45.0,465.0,Telesecundaria
46.0,468.0,Telesecundaria
47.0,470.0,Telesecundaria
48.0,473.0,Telesecundaria
49.0,475.0,Telesecundaria
50.0,478.0,Telesecundaria
51.0,480.0,Telesecundaria
52.0,483.0,Telesecundaria
53.0,485.0,Telesecundaria
54.0,488.0,Telesecundaria
55.0,491.0,Telesecundaria
56.0,493.0,Telesecundaria
57.0,496.0,Telesecundaria
58.0,498.0,Telesecundaria
59.0,501.0,Telesecundaria
60.0,504.0,Telesecundaria
61.0,507.0,Telesecundaria
62.0,510.0,Telesecundaria
63.0,513.0,Telesecundaria
64.0,516.0,Telesecundaria
65.0,519.0,Telesecundaria
66.0,522.0,Telesecundaria
67.0,525.0,Telesecundaria
68.0,528.0,Telesecundaria
69.0,531.0,Telesecundaria
70.0,535.0,Telesecundaria
71.0,538.0,Telesecundaria
